Player,birthDate,Age
Andrew Abbott,1999-06-01,25.89
Mick Abel,2001-08-18,23.67
Albert Abreu,1995-09-26,29.57
Dane Acker,1999-04-01,26.05
Daison Acosta,1998-08-24,26.66
Maximo Acosta,2002-10-29,22.48
Garrett Acton,1998-06-15,26.85
Jose Adames,1993-01-17,32.25
Joe Adametz,1999-12-23,25.33
Jordyn Adams,1999-10-18,25.51
Travis Adams,2000-01-19,25.25
Ty Adcock,1997-02-07,28.2
Eric Adler,2000-10-12,24.52
Joan Adon,1998-08-12,26.69
Zach Agnos,2000-08-15,24.68
Kevin Alcantara,2002-07-12,22.77
Raul Alcantara,2001-01-22,24.24
Sergio Alcantara,1996-07-10,28.78
Blaze Alexander,1999-06-11,25.86
CJ Alexander,1996-07-17,28.76
Jason Alexander,1993-03-01,32.14
Jorge Alfaro,1993-06-11,31.86
Eliezer Alfonzo,1999-09-23,25.57
Kolby Allard,1997-08-13,27.69
Greg Allen,1993-03-15,32.1
Albert Almora Jr.,1994-04-16,31.01
Garvin Alston,1997-03-12,28.11
Dan Altavilla,1992-09-08,32.61
Elvis Alvarado,1999-02-23,26.15
Armando Alvarez,1994-07-14,30.77
Eddy Alvarez,1990-01-30,35.22
Andrew Alvarez,1999-06-13,25.85
Adael Amador,2003-04-11,22.03
Kyle Amendt,2000-04-05,25.04
Grant Anderson,1997-06-21,27.83
Jack Anderson,1999-11-23,25.41
Justin Anderson,1992-09-28,32.56
Nick Anderson,1990-07-05,34.79
Ryan Anderson,1998-09-09,26.61
Shaun Anderson,1994-10-29,30.48
Roman Anthony,2004-05-13,20.94
Mike Antico,1998-02-16,27.17
Koyo Aoyagi,1993-12-11,31.36
Luarbert Arias,2000-12-12,24.35
Luis Ariza,2004-05-08,20.95
Justin Armbruester,1998-10-21,26.5
Christian Arroyo,1995-05-30,29.89
J.T. Arruda,1997-10-20,27.5
Braxton Ashcraft,1999-10-05,25.54
Javier Assad,1997-07-30,27.72
Brett Auerbach,1998-08-27,26.65
Drew Avans,1996-06-13,28.85
Luinder Avila,2001-08-21,23.66
Jose Azocar,1996-05-11,28.94
Kyle Backhus,1998-01-31,27.22
Akil Baddoo,1998-08-16,26.68
Ji Hwan Bae,1999-07-26,25.74
Darren Baker,1999-02-11,26.19
Dru Baker,2000-03-22,25.08
Jordan Balazovic,1998-09-17,26.59
Moises Ballesteros,2003-11-08,21.45
Will Banfield,1999-11-18,25.42
David Banuelos,1996-10-01,28.55
Edgar Barclay,1998-05-24,26.91
Addison Barger,1999-11-12,25.44
Joe Barlow,1995-09-28,29.56
Mason Barnett,2000-11-07,24.45
Tucker Barnhart,1991-01-07,34.28
Tres Barrera,1994-09-15,30.6
Jose Barrero,1998-04-05,27.04
Jorge Barrosa,2001-02-17,24.17
Osleivis Basabe,2000-09-13,24.6
Samuel Basallo,2004-08-13,20.68
Andrew Bash,1996-08-01,28.72
Jesus Bastidas,1998-09-14,26.6
Matthew Batten,1995-06-22,29.83
Tyler Baum,1998-01-14,27.26
Jarod Bayless,1996-12-29,28.31
Dylan Beavers,2001-08-11,23.69
Jordan Beck,2001-04-19,24.0
Tristan Beck,1996-06-24,28.82
Ian Bedell,1999-09-05,25.62
David Bednar,1994-10-10,30.53
Tyler Beede,1993-05-23,31.91
Luke Bell,2000-08-09,24.7
Andrew Bellatti,1991-08-05,33.71
Brayan Bello,1999-05-17,25.93
Valente Bellozo,2000-01-04,25.29
Colton Bender,1999-01-13,26.27
Wes Benjamin,1993-07-26,31.73
Sam Benschoter,1998-03-17,27.09
Will Benson,1998-06-16,26.84
Ryan Bergert,2000-03-08,25.12
Victor Bericoto,2001-12-03,23.38
Warming Bernabel,2002-06-06,22.87
Steward Berroa,1999-06-05,25.88
Jacob Berry,2001-05-05,23.96
Christian Bethancourt,1991-09-02,33.63
Phil Bickford,1995-07-10,29.78
Brandon Bielak,1996-04-02,29.05
Justice Bigbie,1999-01-24,26.24
Alex Binelas,2000-05-26,24.9
Kyle Bischoff,1999-07-29,25.73
Hunter Bishop,1998-06-25,26.82
Mason Black,1999-12-10,25.36
Bradley Blalock,2000-12-25,24.32
Jason Blanchard,1997-06-25,27.82
Scott Blewett,1996-04-10,29.03
Jake Bloss,2001-06-23,23.82
AJ Blubaugh,2000-07-04,24.79
Matthew Bollenbacher,1999-11-09,25.45
Cody Bolton,1998-06-19,26.84
Trevor Boone,1997-09-09,27.61
Jacob Bosiokovic,1993-12-21,31.33
Caleb Boushley,1993-10-01,31.55
Ben Bowden,1994-10-21,30.5
TT Bowens,1998-05-27,26.9
Jonathan Bowlan,1996-12-01,28.38
Cooper Bowman,2000-01-25,25.23
Matt Bowman,1991-05-31,33.89
Jeremiah Boyd,2000-07-01,24.8
Justin Boyd,2001-03-30,24.06
Logan Boyer,1998-01-24,27.24
Ryan Boyer,1997-05-04,27.96
Joe Boyle,1999-08-14,25.68
Sean Boyle,1996-10-29,28.47
Ryan Brady,1999-03-23,26.08
Matt Brash,1998-05-12,26.94
Josh Breaux,1997-10-07,27.53
Will Brennan,1998-02-02,27.21
Colten Brewer,1992-10-29,32.47
Endrys Briceno,1992-02-07,33.2
Jeff Brigham,1992-02-16,33.17
Bryson Brigman,1995-06-19,29.84
Erick Brito,2002-05-25,22.9
Juan Brito,2001-09-24,23.57
Raul Brito,1997-05-23,27.91
Kyle Brnovich,1997-10-20,27.5
Connor Brogdon,1995-01-29,30.22
Trenton Brooks,1995-07-03,29.8
Mike Brosseau,1994-03-15,31.1
Aaron Brown,1999-03-19,26.09
Justin Bruihl,1997-06-26,27.82
Vidal Brujan,1998-02-09,27.19
David Buchanan,1989-05-11,35.94
Nick Burdi,1993-01-19,32.25
Raymond Burgos,1998-11-29,26.39
Tanner Burns,1998-12-28,26.31
Mike Burrows,1999-11-08,25.45
Max Burt,1996-08-28,28.64
Alan Busenitz,1990-08-22,34.66
Edward Cabrera,1998-04-13,27.02
Genesis Cabrera,1996-10-10,28.53
Christian Cairo,2001-06-11,23.86
Owen Caissie,2002-07-08,22.78
Tyler Callihan,2000-06-22,24.83
Jair Camargo,1999-07-01,25.8
Daz Cameron,1997-01-15,28.26
Noah Cameron,1999-07-17,25.76
Isaiah Campbell,1997-08-15,27.68
Gustavo Campero,1997-09-20,27.58
Luis Campusano,1998-09-29,26.56
Mark Canha,1989-02-15,36.18
Dominic Canzone,1997-08-16,27.68
Conner Capel,1997-05-19,27.92
Ryan Cardona,2000-05-07,24.95
Dylan Carlson,1998-10-23,26.49
Sam Carlson,1998-12-03,26.38
Julio Carreras,2000-01-12,25.27
Diego Cartaya,2001-09-07,23.62
Evan Carter,2002-08-29,22.64
Ross Carver,1999-08-27,25.65
Blas Castano,1998-09-08,26.61
Diego A. Castillo,1997-10-28,27.48
Diego Castillo,1994-01-18,31.25
Jose Castillo,1996-01-10,29.28
Luis F. Castillo,1995-03-10,30.11
Harold Castro,1993-11-30,31.39
Kervin Castro,1999-02-07,26.2
Miguel Castro,1994-12-24,30.32
Rodolfo Castro,1999-05-21,25.92
Gilberto Celestino,1999-02-13,26.18
Brendan Cellucci,1998-06-30,26.81
Eric Cerantola,2000-05-02,24.97
Andrew Chafin,1990-06-17,34.84
Chandler Champlain,1999-07-23,25.74
Bubba Chandler,2002-09-14,22.6
JT Chargois,1990-12-03,34.38
Jesse Chavez,1983-08-21,41.66
Michael Chavis,1995-08-11,29.69
Tsung-Che Cheng,2001-07-26,23.73
Harold Chirino,1998-01-12,27.27
Hyun-il Choi,2000-05-27,24.9
Marc Church,2001-03-30,24.06
Wes Clarke,1999-10-13,25.52
Denzel Clarke,2000-05-01,24.97
Taylor Clarke,1993-05-13,31.94
Jonatan Clase,2002-05-23,22.91
Nolan Clenney,1996-06-16,28.84
Jackson Cluff,1996-12-03,28.38
Adisyn Coffey,1999-01-22,26.24
Oscar Colas,1998-09-17,26.59
Gavin Collins,1995-07-17,29.76
Luis Contreras,1996-04-29,28.97
Roansy Contreras,1999-11-07,25.45
Billy Cook,1999-01-07,26.28
Garrett Cooper,1990-12-25,34.32
Billy Corcoran,1999-08-21,25.66
Franchy Cordero,1994-09-02,30.63
Alex Cornwell,1999-05-09,25.95
Kenedy Corona,2000-03-21,25.08
Carlos Cortes,1997-06-30,27.81
Tom Cosgrove,1996-06-14,28.85
Dylan Covey,1991-08-14,33.68
Ben Cowles,2000-02-15,25.18
Austin Cox,1997-03-28,28.06
Justin Crawford,2004-01-13,21.27
Blaine Crim,1997-06-17,27.84
Nabil Crismatt,1994-12-25,30.32
Cooper Criswell,1996-07-24,28.74
Declan Cronin,1997-09-24,27.57
Jimmy Crooks,2001-07-19,23.75
Hans Crouse,1998-09-15,26.6
Omar Cruz,1999-01-26,26.23
Steven Cruz,1999-06-15,25.85
Jose Cuas,1994-06-28,30.81
Jonny Cuevas,2000-11-20,24.41
Xzavion Curry,1998-07-27,26.73
John Curtiss,1993-04-05,32.04
Luis Curvelo,2000-10-21,24.5
Jack Cushing,1996-12-03,28.38
Ryan Cusick,1999-11-12,25.44
Bobby Dalbec,1995-06-29,29.81
Mitchell Daly,2001-05-16,23.93
Caden Dana,2003-12-17,21.34
Davis Daniel,1997-06-11,27.86
Hagen Danner,1998-09-30,26.55
Dugan Darnell,1997-06-26,27.82
Michael Darrell-Hicks,1997-11-13,27.43
Jack Dashwood,1997-11-17,27.42
Kyle Datres,1996-01-05,29.29
Logan Davidson,1997-12-26,27.32
Austin Davis,1993-02-03,32.21
Henry Davis,1999-09-21,25.58
J.D. Davis,1993-04-27,31.98
Colin Davis,1999-02-08,26.2
Noah Davis,1997-04-22,27.99
Justin Dean,1996-12-06,28.37
Brett de Geus,1997-11-04,27.46
Alex De Goti,1994-08-19,30.67
Bryan De La Cruz,1996-12-16,28.34
Fineas Del Bonta-Smith,1997-02-02,28.21
Raynel Delgado,2000-04-04,25.04
Zach DeLoach,1998-08-18,26.67
Deyvison De Los Santos,2003-06-21,21.83
Luis De Los Santos,1998-06-09,26.86
Omar De Los Santos,1999-08-08,25.7
Yerry De Los Santos,1997-12-12,27.35
Trenton Denholm,1999-11-29,25.39
Cam Devanney,1997-04-13,28.02
Chris Devenski,1990-11-13,34.43
Jose Devers,1999-12-07,25.37
Alexis Diaz,1996-09-28,28.56
Jhonathan Diaz,1996-09-13,28.6
Miguel Diaz,1994-11-28,30.39
Yilber Diaz,2000-08-19,24.67
Dustin Dickerson,2001-03-28,24.06
Will Dion,2000-04-17,25.01
Hunter Dobbins,1999-08-30,25.64
Randy Dobnak,1995-01-17,30.26
Dylan Dodd,1998-06-06,26.87
Tanner Dodson,1997-05-09,27.95
Chase Dollander,2001-10-26,23.48
Shane Drohan,1999-01-07,26.28
Brandon Drury,1992-08-21,32.66
Clay Dungan,1996-06-02,28.88
Jack Dunn,1996-09-05,28.62
Justin Dunn,1995-09-22,29.58
Nick Dunn,1997-01-29,28.22
Oliver Dunn,1997-09-02,27.63
Dane Dunning,1994-12-20,30.33
Carlos Duran,2001-07-30,23.72
Edinson Duran,2002-07-22,22.75
Ezequiel Duran,1999-05-22,25.91
Rodolfo Duran,1998-02-19,27.16
Caleb Durbin,2000-02-22,25.16
Nate Eaton,1996-12-22,28.33
Weston Eberly,2001-01-07,24.28
Jake Eder,1998-10-09,26.53
Carl Edwards Jr.,1991-09-03,33.63
Brandon Eisert,1998-01-19,27.25
Bryce Elder,1999-05-19,25.92
Tim Elko,1998-12-27,26.31
Duke Ellis,1998-01-16,27.26
Tristin English,1997-05-14,27.93
Dietrich Enns,1991-05-16,33.93
Mason Erla,1997-08-19,27.67
