PlayerName,birthDate,Age
Philip Abner,2002-05-05,23.92
Dane Acker,1999-04-01,27.01
Garrett Acton,1998-06-15,27.81
Jason Adam,1991-08-04,34.67
Luke Adams,2004-04-24,21.95
Riley Adams,1996-06-26,29.77
Julian Aguiar,2001-06-04,24.84
Robby Ahlstrom,1999-06-18,26.8
Jorge Alcala,1995-07-28,30.69
Kevin Alcantara,2002-07-12,23.73
Sergio Alcantara,1996-07-10,29.74
Sam Aldegheri,2001-09-19,24.54
Kemp Alderman,2002-08-20,23.62
Franco Aleman,2000-06-26,25.77
CJ Alexander,1996-07-17,29.72
Jason Alexander,1993-03-01,33.1
Eliezer Alfonzo,1999-09-23,26.53
Logan Allen,1998-09-05,27.58
Logan Allen,1997-05-23,28.87
Dan Altavilla,1992-09-08,33.57
Nacho Alvarez Jr.,2003-04-11,22.98
Andrew Alvarez,1999-06-13,26.81
Adael Amador,2003-04-11,22.98
Jacob Amaya,1998-09-03,27.59
Aidan Anderson,1997-06-21,28.79
Jack Anderson,1999-11-23,26.37
Max Anderson,2002-02-28,24.1
Nick Anderson,1990-07-05,35.75
Tanner Andrews,1995-11-15,30.39
Euribiel Angeles,2002-05-11,23.9
Sam Antonacci,2003-02-06,23.16
Tejay Antone,1993-12-05,32.33
Orlando Arcia,1994-08-04,31.67
Silas Ardoin,2000-09-19,25.54
Spencer Arrighetti,2000-01-02,26.26
Christian Arroyo,1995-05-30,30.85
Edwin Arroyo,2003-08-25,22.61
Javier Assad,1997-07-30,28.68
Drew Avans,1996-06-13,29.81
Luinder Avila,2001-08-21,24.62
Pedro Avila,1997-01-14,29.22
Nicandro Aybar,2004-09-08,21.57
Jose Azocar,1996-05-11,29.9
Ji Hwan Bae,1999-07-26,26.69
Joshua Baez,2003-06-28,22.77
Darren Baker,1999-02-11,27.15
Dru Baker,2000-03-22,26.04
Luken Baker,1997-03-10,29.07
Trent Baker,1998-12-28,27.27
Will Banfield,1999-11-18,26.38
Charlie Barnes,1995-10-01,30.51
Mason Barnett,2000-11-07,25.41
Jose Barrero,1998-04-05,28.0
Osleivis Basabe,2000-09-13,25.56
Andrew Bash,1996-08-01,29.68
Brady Basso,1997-10-08,28.49
Jesus Bastidas,1998-09-14,27.56
Brett Bateman,2002-03-19,24.05
Mike Baumann,1995-09-10,30.57
Collin Baumgartner,1998-09-26,27.52
Jarod Bayless,1996-12-29,29.26
Travis Bazzana,2002-08-28,23.6
Brendan Beck,1998-10-06,27.5
Tristan Beck,1996-06-24,29.78
Ian Bedell,1999-09-05,26.58
Will Bednar,2000-06-13,25.81
Valente Bellozo,2000-01-04,26.25
Jake Bennett,2000-12-02,25.34
Sam Benschoter,1998-03-17,28.05
Ryan Bergert,2000-03-08,26.08
Austin Bergner,1997-05-01,28.93
William Bergolla Jr.,2004-10-20,21.46
Victor Bericoto,2001-12-03,24.34
Leo Bernal,2004-02-13,22.14
Steward Berroa,1999-06-05,26.83
Jacob Berry,2001-05-05,24.92
John Michael Bertrand,1998-02-08,28.15
Bryant Betancourt,2003-10-12,22.48
Christian Bethancourt,1991-09-02,34.59
Brandan Bidois,2001-06-21,24.79
Hunter Bigge,1998-06-12,27.81
Jax Biggers,1997-04-07,28.99
Cavan Biggio,1995-04-11,30.98
Spencer Bivens,1994-06-28,31.77
Mason Black,1999-12-10,26.32
Tyler Black,2000-07-26,25.69
Bradley Blalock,2000-12-25,25.28
JJ Bleday,1997-11-10,28.4
Scott Blewett,1996-04-10,29.98
Ryan Bliss,1999-12-13,26.31
Henry Bolte,2003-08-04,22.67
Cam Booser,1992-05-04,33.92
Ethan Bosacker,2001-02-20,25.12
Ben Bowden,1994-10-21,31.46
Jase Bowen,2000-09-02,25.59
Cooper Bowman,2000-01-25,26.19
Kaleb Bowman,1997-05-22,28.87
Matt Bowman,1991-05-31,34.85
Sean Boyle,1996-10-29,29.43
Enrique Bradfield Jr.,2001-12-02,24.34
Cody Bradford,1998-02-22,28.11
Ryan Brasier,1987-08-26,38.61
Mitch Bratt,2003-07-03,22.76
Lucas Braun,2001-08-26,24.61
Josh Breaux,1997-10-07,28.49
John Brebbia,1990-05-30,35.85
Will Brennan,1998-02-02,28.17
Jonah Bride,1995-12-27,30.27
